"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","255","ValidLoginTest","Sauce Demo Test Automation Test Suite","Thu Apr 16 18:59:47 UTC 2026","passed","Thu Apr 16 18:59:47 UTC 2026","com.saucedemo.qa.testcases.LoginPageTest","Sauce Demo Test Cases","com.saucedemo.qa.testcases.LoginPageTest","ValidLoginTest"
"","182","ClickOnRemoveBtnTest","Sauce Demo Test Automation Test Suite","Thu Apr 16 19:00:53 UTC 2026","passed","Thu Apr 16 19:00:53 UTC 2026","com.saucedemo.qa.testcases.ProductPageTest","Sauce Demo Test Cases","com.saucedemo.qa.testcases.ProductPageTest","ClickOnRemoveBtnTest"
"","25","ValidateProductImageTest","Sauce Demo Test Automation Test Suite","Thu Apr 16 18:59:57 UTC 2026","passed","Thu Apr 16 18:59:57 UTC 2026","com.saucedemo.qa.testcases.HomePageTest","Sauce Demo Test Cases","com.saucedemo.qa.testcases.HomePageTest","ValidateProductImageTest"
"","99","ValidateProductImageTest","Sauce Demo Test Automation Test Suite","Thu Apr 16 19:00:32 UTC 2026","passed","Thu Apr 16 19:00:32 UTC 2026","com.saucedemo.qa.testcases.ProductPageTest","Sauce Demo Test Cases","com.saucedemo.qa.testcases.ProductPageTest","ValidateProductImageTest"
"","154","ClickOnAddToCartBtnTest","Sauce Demo Test Automation Test Suite","Thu Apr 16 19:00:46 UTC 2026","passed","Thu Apr 16 19:00:46 UTC 2026","com.saucedemo.qa.testcases.ProductPageTest","Sauce Demo Test Cases","com.saucedemo.qa.testcases.ProductPageTest","ClickOnAddToCartBtnTest"
"","75","ClickOnCartBtnTest","Sauce Demo Test Automation Test Suite","Thu Apr 16 19:00:22 UTC 2026","passed","Thu Apr 16 19:00:22 UTC 2026","com.saucedemo.qa.testcases.HomePageTest","Sauce Demo Test Cases","com.saucedemo.qa.testcases.HomePageTest","ClickOnCartBtnTest"
"","86","ClickAddToCartBtnTest","Sauce Demo Test Automation Test Suite","Thu Apr 16 19:00:21 UTC 2026","passed","Thu Apr 16 19:00:21 UTC 2026","com.saucedemo.qa.testcases.HomePageTest","Sauce Demo Test Cases","com.saucedemo.qa.testcases.HomePageTest","ClickAddToCartBtnTest"
"","109","ValidateProductNameTest","Sauce Demo Test Automation Test Suite","Thu Apr 16 19:00:26 UTC 2026","passed","Thu Apr 16 19:00:26 UTC 2026","com.saucedemo.qa.testcases.ProductPageTest","Sauce Demo Test Cases","com.saucedemo.qa.testcases.ProductPageTest","ValidateProductNameTest"
"","98","ValidateProductImageTest","Sauce Demo Test Automation Test Suite","Thu Apr 16 19:00:31 UTC 2026","passed","Thu Apr 16 19:00:31 UTC 2026","com.saucedemo.qa.testcases.ProductPageTest","Sauce Demo Test Cases","com.saucedemo.qa.testcases.ProductPageTest","ValidateProductImageTest"
"","78","ClickOnProductNameTest","Sauce Demo Test Automation Test Suite","Thu Apr 16 19:00:08 UTC 2026","passed","Thu Apr 16 19:00:08 UTC 2026","com.saucedemo.qa.testcases.HomePageTest","Sauce Demo Test Cases","com.saucedemo.qa.testcases.HomePageTest","ClickOnProductNameTest"
